Provider_ID,ZIP_Code,Hospital_overall_rating
50411,90710,4
100002,33435,3
100077,33952,1
30089,85306,3
50755,91403,3
50523,94509,3
40017,72601,4
110142,30417,4
110016,30240,4
50056,93534,1
50765,92555,3
30114,85755,3
101313,33070,5
110010,30322,4
40074,72076,1
50292,92555,1
51327,96020,3
110007,31703,2
100107,33936,1
50261,93257,1
110023,30701,5
100191,34655,2
100110,34741,2
60009,80033,4
50336,95240,2
100084,34748,2
41303,72949,Not Available
61304,80731,Not Available
110074,30606,4
80006,19973,4
50709,92395,3
100017,32114,1
31301,85602,4
40088,71731,2
50308,94040,4
110071,31513,3
101309,33440,3
51305,96028,Not Available
50137,91402,3
50133,95901,1
50313,95376,4
40153,71801,3
60076,80751,4
50735,90605,3
101308,32428,Not Available
60034,80113,4
60116,80026,4
100047,33950,1
30092,85027,2
100292,32550,4
50568,93637,2
10039,35801,2
90011,20010,2
10045,35555,4
10040,35903,2
110040,30529,3
100266,32561,5
50777,94577,3
50043,94609,4
13301,36604,Not Available
10016,35007,3
50551,90720,3
50748,95337,3
40010,72758,4
50116,91325,1
100212,34478,1
110101,31620,3
70002,6105,4
10044,35570,4
10109,35447,3
50231,91767,2
50242,95065,3
70017,6450,2
100223,32547,3
60049,80487,4
51319,96067,3
100177,32932,4
50254,95667,5
60127,80020,Not Available
60126,80528,Not Available
10078,36207,2
50438,91109,5
100189,33063,2
100093,32501,4
41321,71923,3
90001,20037,1
110050,30705,3
100142,32446,2
40085,72342,2
30130,85140,4
103300,33701,Not Available
90006,20017,1
10113,36652,2
10138,36925,Not Available
60031,80907,3
50334,93901,3
31311,86047,Not Available
50150,95945,3
50295,93301,2
50139,90242,3
100018,34102,5
50580,90623,4
50205,91740,4
50510,94903,Not Available
10058,35042,3
10146,36265,3
100113,32610,2
50283,94588,3
50320,94602,2
21311,99901,3
41307,72396,5
40137,72120,2
10049,36330,2
50028,95521,3
40147,72118,5
50104,90262,2
93300,20010,Not Available
100180,33710,1
41330,72454,3
110143,30106,3
50124,91209,1
30002,85006,3
50724,93308,2
100200,33308,3
100029,33150,1
110024,31412,2
60064,80210,4
50515,92120,3
100260,34952,1
100232,32177,2
90003,20060,1
100102,32055,3
100051,34711,3
90004,20007,2
80004,19901,3
70035,6050,3
110054,30162,4
50077,92103,3
50468,90247,1
30016,85222,2
10052,36853,3
50426,92804,3
30030,85015,2
41327,71671,4
41304,72632,Not Available
31304,86040,Not Available
50149,90015,2
51331,93463,3
10168,36867,4
50281,91801,4
70036,6032,3
50359,93274,1
50586,91710,5
50772,95661,4
13300,35233,Not Available
10108,36067,4
100081,32435,2
41310,72560,4
100150,33040,2
30036,85224,4
51330,96101,Not Available
50747,92704,2
50502,90057,4
50002,94545,1
100071,34601,2
40067,71754,3
50390,92543,1
51333,93555,Not Available
50348,92868,2
30022,85008,2
61323,81052,3
60027,80304,3
61321,81082,Not Available
100088,32207,4
110035,30060,3
50378,91352,2
50101,94589,2
60001,80631,4
110107,31201,3
110087,30045,4
50496,94520,5
61309,80758,Not Available
51318,95540,Not Available
50678,92708,2
41309,72476,Not Available
10118,36701,3
50301,95482,2
41323,71635,3
100134,32063,Not Available
80009,19963,4
100289,33331,2
50464,95350,1
40069,72315,1
41329,72616,4
20017,99508,4
40039,72450,1
50234,92118,4
51312,92352,Not Available
100039,33316,1
50159,93003,2
110132,39819,3
10011,35235,3
40015,71953,3
100296,33146,3
50353,90503,3
50534,92201,2
101312,33050,3
101310,32091,2
50771,90650,2
41300,72855,Not Available
50125,95116,1
101301,32060,3
100290,32159,2
30110,85395,3
100231,32514,3
40022,72764,3
50132,91776,4
30014,85020,2
10099,36426,2
100173,33613,1
100265,34695,2
10046,35901,3
100319,33544,4
103301,33155,Not Available
31302,85643,Not Available
50276,94553,3
50113,94403,3
110078,30308,2
41326,71639,Not Available
51323,92363,Not Available
70011,6790,1
50677,91367,4
61307,81648,Not Available
100019,32901,4
10029,36801,3
50393,90241,2
50367,94533,2
50022,92501,2
61316,81089,3
50230,92843,4
50549,91360,2
60016,81212,3
110026,30635,3
110105,31768,2
100131,33180,2
10055,36305,4
100023,34452,1
110006,30606,3
100070,34285,2
10061,35768,3
50211,94501,3
10169,36502,4
70010,6610,1
50071,95051,3
70022,6504,2
100253,33458,4
60032,80220,5
50561,90034,3
50396,93102,5
50122,95203,3
60004,80601,4
110002,30286,2
10062,36340,3
31313,85621,Not Available
10065,35010,3
110001,30720,4
100006,32806,4
10114,35021,3
10085,35601,2
10129,36507,2
10047,36033,3
50688,95020,3
50423,92225,3
41302,72834,2
50360,94904,4
60054,81505,3
61306,80821,Not Available
110146,31558,3
50609,92806,5
61314,81625,3
10024,36106,2
41312,72543,4
100063,34652,2
90008,20032,2
50195,94538,4
51329,95453,4
53304,92868,Not Available
100057,32778,3
10036,36420,3
41318,72927,Not Available
100314,33196,4
50135,90028,2
50588,91773,4
110044,31719,2
10073,36251,4
21306,99615,Not Available
60011,80204,2
50174,95405,4
30121,85209,2
61305,80734,Not Available
40027,72653,2
60020,81003,3
100046,33541,2
100238,33709,2
50492,93611,1
50512,94538,Not Available
61322,81201,Not Available
30083,85032,2
60028,80218,4
100126,33707,1
10033,35233,2
30122,85234,4
30093,85375,4
61324,81611,5
51316,96097,2
40072,72160,4
61319,80461,Not Available
10110,36089,3
50039,95926,4
100168,33486,2
100275,33414,1
70005,6721,1
60113,80122,4
50457,94117,3
50038,95128,3
10112,36732,2
50110,93436,2
100230,33024,4
50036,93301,1
61312,80517,4
40016,72205,1
50779,90059,2
50084,95204,1
100118,32164,2
50045,92243,2
50581,90712,2
10023,36116,3
100080,33462,1
50006,95501,2
51304,95338,Not Available
50770,92563,2
50757,92120,5
70031,6418,3
110095,31793,2
50194,95076,2
50397,93210,Not Available
100087,34239,5
100299,34202,3
50746,92705,1
61317,81650,4
50300,92307,3
53300,93636,Not Available
110121,39828,4
50599,95817,3
41314,72042,Not Available
50055,94110,3
30101,86442,2
31317,85344,3
53301,94609,Not Available
50115,92025,3
