CBSA Code,Metropolitan Division Code,CSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,Metropolitan Division Title,CSA Title,County/County Equivalent,State Name,FIPS State Code,FIPS County Code,Central/Outlying County
34660,,,"Murray, KY",Micropolitan Statistical Area,,,Calloway,Kentucky,21.0,35.0,Central
34700,,209.0,"Muscatine, IA",Micropolitan Statistical Area,,"Davenport-Moline, IA-IL",Muscatine,Iowa,19.0,139.0,Central
34740,,266.0,"Muskegon, MI",Metropolitan Statistical Area,,"Grand Rapids-Wyoming-Muskegon, MI",Muskegon,Michigan,26.0,121.0,Central
34780,,538.0,"Muskogee, OK",Micropolitan Statistical Area,,"Tulsa-Muskogee-Bartlesville, OK",Muskogee,Oklahoma,40.0,101.0,Central
34820,,396.0,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Metropolitan Statistical Area,,"Myrtle Beach-Conway, SC-NC",Brunswick,North Carolina,37.0,19.0,Central
34820,,396.0,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Metropolitan Statistical Area,,"Myrtle Beach-Conway, SC-NC",Horry,South Carolina,45.0,51.0,Central
34860,,,"Nacogdoches, TX",Micropolitan Statistical Area,,,Nacogdoches,Texas,48.0,347.0,Central
34900,,488.0,"Napa, CA",Metropolitan Statistical Area,,"San Jose-San Francisco-Oakland, CA",Napa,California,6.0,55.0,Central
34940,,162.0,"Naples-Immokalee-Marco Island, FL",Metropolitan Statistical Area,,"Cape Coral-Fort Myers-Naples, FL",Collier,Florida,12.0,21.0,Central
34980,,400.0,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan Statistical Area,,"Nashville-Davidson--Murfreesboro, TN",Cannon,Tennessee,47.0,15.0,Outlying
34980,,400.0,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan Statistical Area,,"Nashville-Davidson--Murfreesboro, TN",Cheatham,Tennessee,47.0,21.0,Outlying
34980,,400.0,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan Statistical Area,,"Nashville-Davidson--Murfreesboro, TN",Davidson,Tennessee,47.0,37.0,Central
34980,,400.0,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan Statistical Area,,"Nashville-Davidson--Murfreesboro, TN",Dickson,Tennessee,47.0,43.0,Outlying
34980,,400.0,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan Statistical Area,,"Nashville-Davidson--Murfreesboro, TN",Hickman,Tennessee,47.0,81.0,Outlying
34980,,400.0,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan Statistical Area,,"Nashville-Davidson--Murfreesboro, TN",Macon,Tennessee,47.0,111.0,Outlying
34980,,400.0,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan Statistical Area,,"Nashville-Davidson--Murfreesboro, TN",Maury,Tennessee,47.0,119.0,Outlying
34980,,400.0,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan Statistical Area,,"Nashville-Davidson--Murfreesboro, TN",Robertson,Tennessee,47.0,147.0,Outlying
34980,,400.0,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan Statistical Area,,"Nashville-Davidson--Murfreesboro, TN",Rutherford,Tennessee,47.0,149.0,Outlying
34980,,400.0,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan Statistical Area,,"Nashville-Davidson--Murfreesboro, TN",Smith,Tennessee,47.0,159.0,Outlying
34980,,400.0,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan Statistical Area,,"Nashville-Davidson--Murfreesboro, TN",Sumner,Tennessee,47.0,165.0,Central
34980,,400.0,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan Statistical Area,,"Nashville-Davidson--Murfreesboro, TN",Trousdale,Tennessee,47.0,169.0,Outlying
34980,,400.0,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan Statistical Area,,"Nashville-Davidson--Murfreesboro, TN",Williamson,Tennessee,47.0,187.0,Central
34980,,400.0,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan Statistical Area,,"Nashville-Davidson--Murfreesboro, TN",Wilson,Tennessee,47.0,189.0,Central
35020,,,"Natchez, MS-LA",Micropolitan Statistical Area,,,Concordia,Louisiana,22.0,29.0,Central
35020,,,"Natchez, MS-LA",Micropolitan Statistical Area,,,Adams,Mississippi,28.0,1.0,Central
35060,,,"Natchitoches, LA",Micropolitan Statistical Area,,,Natchitoches,Louisiana,22.0,69.0,Central
35100,,404.0,"New Bern, NC",Metropolitan Statistical Area,,"New Bern-Morehead City, NC",Craven,North Carolina,37.0,49.0,Central
